Driving_Time1234567,Driving_Time1234568,Driving_Time1234569,Driving_Time1234560,Driving_Time1234561,Driving_Time1234562,Driving_Time1234563,Driving_Time1234564,Driving_Time1234565,Driving_Time1234566
282,280,114,83,272,111,62,282,128,212
117,60,321,13,69,217,253,117,123,219
399,201,86,110,400,13,31,304,108,342
336,320,403,461,107,120,72,215,240,157
501,311,113,161,331,461,408,352,175,63
482,282,364,428,392,356,139,343,427,58
363,125,139,158,57,13,156,245,272,13
148,110,15,364,53,234,31,416,247,375
88,353,156,280,107,160,360,111,123,297
166,328,418,205,425,338,80,91,150,67
82,278,84,90,295,387,381,148,142,288
32,291,391,297,55,13,7,329,92,254
233,175,77,278,302,161,198,379,248,164
48,416,77,153,283,517,344,106,168,159
134,161,87,13,120,127,181,167,260,203
106,76,270,405,126,158,146,114,201,152
100,302,371,351,106,38,26,440,342,354
411,338,149,187,318,455,207,125,455,420
412,409,446,373,475,130,378,441,146,247
387,155,87,351,460,35,88,201,268,148
7,155,13,176,261,382,164,304,91,396
271,90,135,357,478,523,340,276,453,13
363,251,259,122,349,83,441,216,403,165
315,236,80,473,420,216,7,377,348,356
140,201,15,423,401,472,194,458,204,169
312,136,296,425,338,377,464,118,416,473
67,407,92,350,331,124,295,394,386,173
7,322,78,75,348,462,86,105,437,58
219,189,305,217,179,82,467,111,489,53
196,94,96,72,154,193,452,187,361,43
394,335,7,487,325,294,393,118,282,13
270,135,448,437,306,100,434,354,7,477
135,297,449,114,425,451,94,159,13,378
536,267,404,85,141,151,472,64,284,315
457,328,234,120,132,402,327,44,452,67
412,253,457,357,213,450,127,425,187,164
459,203,13,84,234,87,443,252,137,377
74,339,268,505,295,278,333,213,184,67
539,352,163,330,245,173,254,269,166,188
174,218,439,142,293,148,35,244,467,13
186,392,209,344,176,108,446,199,407,13
106,233,411,425,220,434,412,124,147,112
487,135,318,471,323,126,376,450,87,396
58,321,123,86,111,470,472,380,358,201
29,312,13,208,172,161,143,135,183,268
510,232,469,370,283,252,349,446,477,424
65,313,299,421,158,162,79,379,135,369
431,268,85,348,133,559,430,274,511,144
509,419,317,174,278,186,492,300,146,425
509,415,329,139,504,333,7,152,402,306
395,431,445,505,314,148,73,112,147,186
531,427,7,255,510,43,68,478,358,67
358,13,293,85,290,13,80,378,234,67
445,294,143,331,383,167,391,390,510,369
425,79,141,121,188,114,337,194,446,60
355,226,292,477,113,100,67,290,151,471
345,252,192,352,484,373,284,396,507,386
412,232,7,454,69,63,91,437,273,482
232,275,443,24,185,329,467,427,469,347
213,110,278,443,58,530,13,120,394,142
399,105,205,13,53,100,89,211,106,168
39,63,7,314,500,177,455,478,442,184
67,269,362,124,92,229,306,343,217,231
7,80,73,114,523,164,342,251,468,181
113,321,13,370,353,13,194,126,500,220
63,152,364,371,311,380,405,452,292,531
241,143,71,261,228,300,305,293,7,301
517,13,472,246,364,125,412,278,472,497
67,404,427,121,124,213,352,464,254,110
459,324,204,307,84,120,70,439,89,60
129,214,156,117,460,81,76,445,526,128
87,270,418,104,257,120,147,325,426,58
234,200,98,330,333,13,7,127,152,13
451,171,131,305,509,574,458,108,7,13
427,323,228,437,406,409,300,454,189,449
485,300,113,402,396,355,90,109,159,149
60,71,306,514,281,586,481,270,305,155
388,475,542,339,318,416,141,461,130,412
469,440,372,124,469,123,398,31,327,344
139,252,272,218,185,119,193,497,403,221
74,72,399,13,298,600,344,299,145,206
85,32,109,516,123,156,54,104,512,174
536,411,440,463,530,477,521,410,223,460
67,281,95,424,310,253,396,448,539,195
529,136,486,487,572,335,306,123,526,190
464,116,358,435,242,437,62,13,390,143
139,252,274,150,553,133,263,515,300,526
595,283,269,466,548,390,13,343,230,116
375,215,75,13,343,421,294,439,156,512
340,481,316,166,500,36,80,120,552,488
286,482,547,507,375,113,7,353,487,13
507,472,142,372,115,164,320,459,378,389
107,252,548,282,461,587,85,434,554,130
88,232,13,368,343,429,81,224,534,222
79,269,116,103,575,104,71,231,530,162
35,224,492,419,245,495,371,122,460,349
74,492,7,383,542,51,46,518,220,380
426,282,381,335,272,604,7,13,527,145
598,97,271,532,52,625,153,13,444,30
68,455,142,228,264,60,144,424,399,288
269,385,264,13,209,616,373,325,537,410
237,290,15,387,340,533,78,361,292,546
32,201,96,593,335,626,549,497,7,278
438,397,282,433,245,648,440,487,438,203
553,232,93,263,66,503,295,212,559,29
408,494,357,474,327,244,166,177,144,85
74,269,7,94,498,159,182,284,305,58
225,406,13,535,534,139,378,200,503,13
67,433,479,125,529,600,88,293,428,296
86,189,15,107,520,636,13,469,213,31
86,130,471,313,551,551,79,129,474,324
67,496,201,13,466,151,210,235,444,421
57,446,367,189,557,652,517,152,425,186
513,351,297,566,342,625,7,268,501,217
488,331,434,131,559,632,378,164,146,129
368,342,304,342,174,138,472,79,463,60
69,332,7,389,590,664,442,105,388,413
365,222,473,300,190,128,262,406,565,380
165,212,164,290,137,574,478,331,525,310
416,453,425,75,117,569,448,201,405,511
652,428,15,70,97,646,383,198,210,67
343,83,592,377,57,161,303,104,561,514
575,465,574,609,58,634,494,315,426,369
57,350,505,180,474,609,344,416,181,415
568,80,96,231,324,549,435,433,96,566
624,476,158,429,581,124,318,378,152,333
604,321,13,316,132,145,84,334,485,173
149,367,390,126,94,497,450,269,375,158
265,58,15,86,190,447,77,119,586,109
566,119,126,238,150,568,148,435,551,112
371,416,417,129,411,173,510,393,437,559
56,107,7,114,121,128,450,348,397,544
142,503,13,370,56,13,350,323,506,550
