Driving_Time1234567,Driving_Time1234568,Driving_Time1234569,Driving_Time1234560,Driving_Time1234561,Driving_Time1234562,Driving_Time1234563,Driving_Time1234564,Driving_Time1234565,Driving_Time1234566
7,280,7,148,293,506,334,299,128,58
309,60,133,330,48,507,375,410,123,355
275,201,395,332,117,367,215,321,108,447
201,320,74,22,67,13,403,91,240,418
332,311,411,123,358,115,148,292,175,183
446,282,303,380,294,461,85,338,427,148
67,125,248,145,125,417,85,410,272,13
440,110,325,196,451,397,416,288,247,13
250,353,315,448,342,197,366,205,123,478
288,328,141,199,412,448,181,345,150,165
98,278,145,471,282,118,147,102,142,211
399,291,121,356,411,197,203,254,92,237
30,175,91,407,438,328,155,105,248,250
48,416,187,479,124,381,61,95,168,60
430,161,13,405,265,489,288,311,260,247
306,76,129,135,110,180,390,123,201,353
482,302,415,116,352,471,345,424,342,58
468,338,82,13,207,288,94,246,455,13
50,409,73,125,483,223,346,221,146,13
385,155,139,297,158,143,201,352,268,376
365,155,119,433,138,418,467,434,91,231
215,90,325,23,434,348,329,371,453,207
422,251,137,13,368,396,471,423,403,323
444,236,390,436,414,194,62,174,348,379
442,201,7,347,404,169,299,260,204,221
207,136,260,348,182,216,76,433,416,457
67,407,431,124,308,155,80,403,386,193
524,322,111,475,339,323,381,375,437,484
309,189,393,326,501,544,337,355,489,324
41,94,424,97,213,190,487,407,361,114
313,335,74,458,103,116,423,393,282,132
367,135,125,318,234,348,384,153,7,193
459,297,411,78,357,149,135,13,13,281
456,267,121,217,122,140,463,299,284,13
109,328,81,77,338,222,440,137,452,299
345,253,107,467,294,197,421,132,187,440
426,203,7,123,214,118,342,373,137,431
216,339,13,26,353,298,428,123,184,341
7,352,69,152,275,522,505,169,166,67
434,218,165,73,431,382,305,421,467,13
259,392,161,95,301,369,70,387,407,164
134,233,131,70,136,535,346,119,147,124
332,135,292,346,328,155,191,450,87,310
428,232,413,348,313,545,367,350,358,295
293,313,13,334,526,196,283,331,183,45
551,288,7,160,117,518,474,107,477,493
112,268,393,381,83,163,164,155,144,480
78,419,13,376,380,163,490,466,135,501
495,415,15,304,446,592,325,301,511,237
460,431,446,164,237,387,90,246,442,409
518,427,401,282,508,514,171,237,402,265
248,79,167,182,108,561,81,263,147,229
439,320,448,348,274,549,497,233,358,143
476,226,395,128,474,175,298,269,234,13
76,252,132,449,299,105,178,164,510,494
412,232,122,321,129,215,138,400,151,182
239,275,7,267,60,592,409,246,507,398
79,110,15,217,357,222,416,418,273,58
365,105,246,13,453,463,57,103,469,171
76,336,337,119,140,363,473,384,394,507
138,63,15,385,311,13,158,345,106,264
459,269,312,240,206,554,157,452,442,422
455,321,83,120,527,149,37,199,217,172
288,152,445,97,317,66,458,30,468,268
144,143,350,13,554,133,306,397,292,276
580,404,280,133,549,214,492,297,180,181
430,324,120,449,119,602,7,187,472,207
240,214,236,74,538,252,325,98,13,428
402,171,238,115,108,387,452,394,509,159
573,86,349,100,63,320,524,270,254,395
487,202,85,136,410,366,370,105,89,478
453,323,411,517,395,603,76,326,526,204
333,273,483,372,80,273,407,226,426,39
218,300,74,154,317,48,86,500,152,37
78,240,124,20,227,13,524,462,399,458
545,71,130,97,318,350,319,268,159,328
109,433,236,97,409,429,62,99,305,265
285,475,121,173,540,526,148,34,130,487
36,252,83,294,295,448,128,108,327,348
7,280,78,435,13,148,364,64,203,58
451,250,269,410,459,529,7,450,145,419
427,115,264,350,229,513,418,351,512,149
548,136,91,141,530,158,507,196,523,520
548,412,257,432,61,561,427,131,223,185
244,283,13,377,512,629,79,422,539,206
605,78,414,103,494,149,375,343,495,282
245,449,94,93,329,408,335,134,226,67
386,455,125,489,109,99,320,412,532,578
91,215,246,394,375,515,466,205,482,384
512,40,347,84,235,430,432,407,387,190
7,481,297,190,292,551,73,317,525,346
483,231,172,158,112,351,430,182,371,116
283,13,7,73,538,151,481,147,156,348
143,484,508,13,329,378,426,107,382,178
28,269,200,70,284,541,391,87,534,144
470,254,369,337,505,587,71,118,394,35
360,490,299,126,135,177,527,129,527,257
326,477,471,342,201,660,443,460,462,13
67,282,392,122,57,135,378,60,559,534
98,338,292,27,254,156,298,511,559,511
488,13,282,464,420,81,154,416,465,152
213,491,7,415,390,563,522,226,385,439
580,396,158,556,355,383,187,267,537,474
95,386,424,376,330,63,7,187,292,199
137,201,329,351,496,259,13,228,167,420
72,427,436,114,61,655,530,108,418,60
33,232,246,84,462,626,305,309,559,441
464,42,374,410,267,626,346,485,144,361
351,293,400,355,473,106,512,371,470,266
628,124,80,120,368,123,217,291,440,197
403,59,116,100,88,649,525,498,503,558
362,406,7,481,564,249,466,459,443,13
573,327,108,461,334,189,528,119,428,13
645,207,501,451,585,521,83,375,216,359
451,343,275,326,570,127,564,356,322,395
352,314,556,537,330,139,484,492,483,458
97,330,181,269,333,651,359,57,388,433
54,80,257,536,545,156,75,478,148,368
440,496,150,473,285,151,126,529,379,569
435,77,15,398,537,158,582,469,465,219
131,458,442,594,512,489,327,429,210,572
377,243,7,549,581,404,338,324,152,162
247,464,359,481,571,391,179,532,184,475
558,116,458,27,561,281,54,508,572,200
623,457,284,365,228,106,45,296,467,81
415,227,69,581,599,394,7,482,133,557
391,13,416,501,329,341,570,348,359,512
43,119,176,426,271,162,535,13,324,548
666,201,96,91,607,567,95,499,555,549
106,418,568,115,572,97,292,209,400,365
457,129,165,231,244,258,13,109,426,378
342,120,536,492,169,387,459,44,7,288
438,214,13,147,575,703,178,460,258,194
659,470,520,19,565,705,589,210,114,545
84,445,586,361,295,180,544,126,311,251
46,430,403,276,220,165,475,455,598,131
43,380,134,404,361,481,420,258,293,362
449,456,74,335,563,602,521,419,514,347
140,446,120,130,278,688,341,374,139,308
676,71,311,162,188,323,316,520,590,198
671,432,372,503,58,689,577,430,560,404
596,287,362,428,541,684,287,165,518,615
386,77,273,153,617,149,87,352,138,585
402,513,15,309,13,280,508,293,479,555
7,453,591,89,284,135,118,198,335,611
378,509,191,487,186,125,526,229,456,346
674,449,121,413,402,426,291,105,87,608
225,394,112,13,267,82,86,458,610,543
