road,id,model_type,name,lat,lon,length,condition
N1,200217,link,link 109,23.0799778289153,91.3553908252857,524.0,
N1,200218,bridge,bridge 109,23.0779647046997,91.3566005031331,14.2,B
N1,200219,link,link 110,23.07408144434985,91.35845135156654,957.0,
N1,200220,bridge,bridge 110,23.070198184,91.3603022,6.1,B
N1,200221,link,link 111,23.06547275866665,91.36108233095236,1097.0,
N1,200222,bridge,bridge 111,23.0607473333333,91.3618624619047,4.0,B
N1,200223,link,link 112,23.0493600694444,91.3637704671703,2578.0,
N1,200224,bridge,bridge 112,23.0379728055555,91.3656784724359,10.8,A
N1,200225,link,link 113,23.032476461314303,91.365589478204,1262.0,
N1,200226,bridge,bridge 113,23.0269801170731,91.3655004839721,1.6,A
N1,200227,link,link 114,23.019692479057703,91.37174004947789,2146.0,
N1,200228,bridge,bridge 114,23.0124048410423,91.3779796149837,3.4,A
N1,200229,link,link 115,23.00582679852115,91.38687740749185,2357.0,
N1,200230,bridge,bridge 115,22.999248756,91.3957752,1.5,A
N1,200231,link,link 116,22.9969884176401,91.39903234503815,855.0,
N1,200232,bridge,bridge 116,22.9947280792802,91.4022894900763,23.13,B
N1,200233,link,link 117,22.9946608462922,91.40237170190835,23.0,
N1,200234,bridge,bridge 117,22.9945936133042,91.4024539137404,22.15,A
N1,200235,link,link 118,22.978021175120553,91.42272505822154,5669.0,
N1,200236,bridge,bridge 118,22.9614487369369,91.4429962027027,96.46000000000001,C
N1,200237,link,link 119,22.95502630180175,91.461247793018,4188.0,
N1,200238,bridge,bridge 119,22.9486038666666,91.4794993833333,1.5,A
N1,200239,link,link 120,22.94910823783565,91.49078314142966,2348.0,
N1,200240,bridge,bridge 120,22.9496126090047,91.502066899526,192.36,B
N1,200241,link,link 121,22.9322886575725,91.51417821730685,4804.0,
N1,200242,bridge,bridge 121,22.9149647061403,91.5262895350877,221.515,B
N1,200243,link,link 122,22.91233879727075,91.52760901926794,642.0,
N1,200244,bridge,bridge 122,22.9097128884012,91.5289285034482,6.1,A
